path,bytes,sha256,review_scope
.github/workflows/release.yml,10201,dd47ae9cd259cd85a63cf4064c7af188dbfb4b94514ff31f207c8a7edfb78544,source/config/docs
.gitignore,171,6ab422a1d49be73c1a7679a2b06246502100f9e71b449f6771fb771c28b27b81,source/config/docs
LICENSE.md,1094,b4a79d204f5d93f343a4d77d5fe66be8e83d308f0aff1a1280d914ca6d2209d1,source/config/docs
README.md,2815,720759480e29a22ad5d81cff78536af0e04fc7e9a49a52a1e01e3ba27ebe8bb7,source/config/docs
desktop-app/README.md,264,892e281e233aafe087cd14e55f003aa14ac2b9a3b4e44bb4404f375b7741071d,source/config/docs
desktop-app/build-web.js,1170,ec8b0e2e1ed3378bb560b66cc3a1947b3f414cd9b43a4cb61dcddc893082cfc3,source/config/docs
desktop-app/icons/icon.png,2869,ea1b5b1d1e5d7937ad7329b86c79f91d237facd17434bd7b6f381b56728a11d0,binary metadata only
desktop-app/icons/icon@2x.png,2869,ea1b5b1d1e5d7937ad7329b86c79f91d237facd17434bd7b6f381b56728a11d0,binary metadata only
desktop-app/index.html,8650,9e035f782a39601ad92b44f55e25c91a2b6c8b09c21207ed02b0ec2acdc087f4,source/config/docs
desktop-app/package-lock.json,9456,001717c9ee236a527f7c8f1da32b712b3b18453fda83ffdf317d75777e0f8cdd,source/config/docs
desktop-app/package.json,477,8570347f617fa5eb0ce3ea94baeada9155e2cf7a52eeab5a0c97e84625bffce9,source/config/docs
desktop-app/src-tauri/Cargo.lock,153957,69ee3b76a5daf00c2b3758e3d91350c77cddfacae5c4a3188fe8c742b4c3b119,source/config/docs
desktop-app/src-tauri/Cargo.toml,1452,6993e7f2bf7c05222aa0e230beca003222b4e232cfca08e2e0a43d16039a006f,source/config/docs
desktop-app/src-tauri/build.rs,39,487059eaf8a947b80f20a9aacac038a5047b2ad69d2401b827376c67d6fe847f,source/config/docs
desktop-app/src-tauri/capabilities/default.json,312,62832089654fef2ec86c21848ecf995f8a867cd50b212fbe8def8ec42715b348,source/config/docs
desktop-app/src-tauri/drivers/WinRing0x64.sys,14544,11bd2c9f9e2397c9a16e0990e4ed2cf0679498fe0fd418a3dfdac60b5c160ee5,binary metadata only
desktop-app/src-tauri/gen/schemas/acl-manifests.json,70484,4cf2f197ccb3c019760ea73e7f898d57c34df3a555a441d7a1272195b87d7847,generated schema: targeted review
desktop-app/src-tauri/gen/schemas/capabilities.json,253,df2433493f5e2a6ee98117d94b19011bead3bc65a283d3e4ed6a872778053a9f,generated schema: targeted review
desktop-app/src-tauri/gen/schemas/desktop-schema.json,124372,170eb7ce2585e3045df8bd3ad795ba78a71eeaa75c88f93a8d409156d24bd0f6,generated schema: targeted review
desktop-app/src-tauri/gen/schemas/windows-schema.json,124372,170eb7ce2585e3045df8bd3ad795ba78a71eeaa75c88f93a8d409156d24bd0f6,generated schema: targeted review
desktop-app/src-tauri/icons/128x128.png,4999,f127bdad729a9cd1683ec8b07b79641ff4227826efb4e2084c91d76e70ca0cb0,binary metadata only
